test_name,mapped_to_group,tier,group_patients,group_measurements
(TEST:BC1-1813),cholesterol_total/cholesterol_in_hdl,1,3625,46873
.5MG/ML RISTO (AGG) (TEST:BHPRISTL),platelet_aggregation_ristocetin_induced^low_dose,1,11,53
.5MG/ML RISTO (AGG) (TEST:DHSQE-PRISTL),platelet_aggregation_ristocetin_induced^low_dose,1,11,53
.5MG/ML RISTO (AGG) (TEST:EL:5200011080),platelet_aggregation_ristocetin_induced^low_dose,1,11,53
.5MM ARACH ACID (AGG) (TEST:BHAAP),platelet_aggregation_arachidonate_induced^500_umol/l,1,11,53
.5MM ARACH ACID (AGG) (TEST:DHSQE-AAP),platelet_aggregation_arachidonate_induced^500_umol/l,1,11,53
.5MM ARACH ACID (AGG) (TEST:EL:5200000451),platelet_aggregation_arachidonate_induced^500_umol/l,1,11,53
.5MM ARACH ACID (SEC) (TEST:BHAAR),.5mm_arach_acid_sec_test_bhaar,3,11,37
.5MM ARACH ACID (SEC) (TEST:DHSQE-AAR),.5mm_arach_acid_sec_test_bhaar,3,11,37
.5MM ARACH ACID (SEC) (TEST:EL:5200000454),.5mm_arach_acid_sec_test_bhaar,3,11,37
".ALBUMIN, SERUM (TEST:WC952.5138)",albumin,1,5841,551491
".CREATININE,PLASMA (TEST:WC331.0795)",creatinine,1,5640,989969
".CREATININE,PLASMA (TEST:WC331.0796)",creatinine,1,5640,989969
.EST GLOM FILT RATE AFRICAN AMERIC (TEST:WC331.0820),glomerular_filtration_rate,1,5640,964584
.EST GLOM FILT RATE NON-AFRICAN AM (TEST:WC331.0810),glomerular_filtration_rate,1,5640,964584
.GLOBULIN (TEST:WC331.1250),globulin,1,5820,517011
.GLOM FILT RATE AFRICAN AMERIC (TEST:WC331.0821),glomerular_filtration_rate,1,5640,964584
.GLOM FILT RATE NON-AFRICAN AM (TEST:WC331.0811),glomerular_filtration_rate,1,5640,964584
.HEMATOCRIT (TEST:WC953.7961),erythrocyte/blood,1,5919,924047
".HEMOGLOBIN A1C, B (TEST:WC953.7702)",hemoglobin_a1c/hemoglobin_total,1,1,1
".IGG/ALBUMIN, SERUM (TEST:WC952.5142)",igg/albumin,1,16,44
.INR (TEST:WH201.0325),coagulation_tissue_factor_induced_inr,1,5349,323024
.INR POINT OF CARE (TEST:WH201.0354),coagulation_tissue_factor_induced_inr,1,5349,323024
.LDH 1 (TEST:WC952.5906),lactate_dehydrogenase_1/lactate_dehydrogenase_total,1,8,25
.LDH 2 (TEST:WC952.5908),lactate_dehydrogenase_2/lactate_dehydrogenase_total,1,8,25
.LDH 3 (TEST:WC952.5910),lactate_dehydrogenase_3/lactate_dehydrogenase_total,1,8,25
.LDH 4 (TEST:WC952.5912),lactate_dehydrogenase_4/lactate_dehydrogenase_total,1,8,25
.LDH 5 (TEST:WC952.5914),lactate_dehydrogenase_5/lactate_dehydrogenase_total,1,8,25
.LDH I2 (TEST:WC952.5916),lactate_dehydrogenase_2,1,1,1
.LDH ISOS (TEST:WC952.5904),lactate_dehydrogenase_isoenzymes,1,1,5
.LDH TOTAL ACTIVITY (TEST:WC952.5902),lactate_dehydrogenase,1,2804,101127
.PROTHROMBIN TIME (TEST:WH201.0225),coagulation_tissue_factor_induced,1,5349,326072
.TOTAL PROTIEN (TEST:WC890.0250),protein,1,5835,548857
.TRIGLYCERIDE (TEST:WC331.2995),triglyceride,1,4195,91188
.TRIGLYCERIDE FOR PROPOFOL (TEST:WC331.2901),triglyceride,1,4195,91188
.TROPONIN I ULTRA (TEST:WC602.20103),troponin_i_cardiac,1,473,6772
".UREA NITROGEN (BUN), PLASMA (TEST:WC331.0780)",urea_nitrogen,1,5638,975657
