group_name,loinc_code,component,system,standard_unit,source_units,conversion_factors,impossible_low,impossible_high,extreme_low,extreme_high,tier,needs_review,review_reason,matched_tests,patient_count,measurement_count
.5mm_arach_acid_sec_test_bhaar,,,,nm,nm,{},0.0,9999.0,0.0,9999.0,3,False,,.5MM ARACH ACID (SEC) (TEST:BHAAR)|.5MM ARACH ACID (SEC) (TEST:EL:5200000454)|.5MM ARACH ACID (SEC) (TEST:DHSQE-AAR),11,37
1u/ml_thrombin_sec_test_bhpthrom,,,,nm,nm,{},0.0,9999.0,0.0,9999.0,3,False,,1U/ML THROMBIN (SEC) (TEST:BHPTHROM)|1U/ML THROMBIN (SEC) (TEST:EL:5200011230)|1U/ML THROMBIN (SEC) (TEST:DHSQE-PTHROM),11,37
1ug/ml_collagen_sec_test_bhcol1r,,,,nm,nm,{},0.0,9999.0,0.0,9999.0,3,False,,1UG/ML COLLAGEN (SEC) (TEST:EL:5200003538)|1UG/ML COLLAGEN (SEC) (TEST:BHCOL1R)|1UG/ML COLLAGEN (SEC) (TEST:DHSQE-COL1R),11,37
5'-nucleotidase,1690-7,5'-Nucleotidase,Ser/Plas,U/L;mU/mL; units/L,U/L|IU/L,{'U/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,"5'-NUCLEOTIDASE (TEST:MC5NUC)|5'NUCLOETIDASE (TEST:BC5NT1)|5 NUCLEOTIDASE (TEST:WC5NUCLT)|5'NT (TEST:BC1-43)|5 NUCLEOTIDASE BLOOD (TEST:EL:5200000367)|5'NUCLOETIDASE BLOOD (TEST:EL:5200000365)|5 NUCLEOTIDASE (TEST:DCSQE-5NUCLT)|5 NUCLEOTIDASE (TEST:NCSQE-5NUCLT)|5 NUCLEOTIDASE (TEST:MCSQ-A671Z)|5 NUCLEOTIDASE (TEST:FC5NUCLT)|5 NUCLEOTIDASE (TEST:MCSQ-5NUCLT)|5' NUCLEOTIDASE (TEST:WC954.0092)|5'-NUCLEOTIDASE (TEST:MCSQ-5NUC)|5 NUCLEOTIDASE, SERUM (TEST:WC601.0200)|5 NUCLEOTIDASE (TEST:MCSQ-5NUC1)|5' NUC. RESULT (TEST:NCNUC5T)",22,190
5ug/ml_collagen_sec_test_bhcol5r,,,,nm,nm,{},0.0,9999.0,0.0,9999.0,3,False,,5UG/ML COLLAGEN (SEC) (TEST:EL:5200003541)|5UG/ML COLLAGEN (SEC) (TEST:DHSQE-COL5R)|5UG/ML COLLAGEN (SEC) (TEST:BHCOL5R),11,37
5um_adp_sec_test_bhadpr,,,,nm,nm,{},0.0,9999.0,0.0,9999.0,3,False,,5UM ADP (SEC) (TEST:DHSQE-ADPR)|5UM ADP (SEC) (TEST:BHADPR)|5UM ADP (SEC) (TEST:EL:5200000905),11,37
abg_site_blood_test_el_52000169326,,,,,,{},0.0,9999.0,0.0,9999.0,3,False,,ABG SITE BLOOD (TEST:EL:52000169326)|ABG SITE (TEST:SC301.0310)|ABG SITE (TEST:SCSBABGS),9,65
activated_clotting_time,3184-9,Activated clotting time,Bld,s,SEC|sec,{'sec': 1.0},0.0,9999.0,0.0,9999.0,1,False,,ACT CLOTTING TIME (TEST:NCACTCAT)|ACT (TEST:BCACT10)|ACT FROM VASC SURG (TEST:MHSQ-ACT70)|ACTIVATED CLOT TIME (TEST:EL:5200000630)|ACT CLOTTING TIME ISTAT (TEST:NCACTIS)|ACT FROM CARDIAC OR (TEST:EL:5200000625)|ACTIVATED CLOTTING TIME (TEST:EL:52000161429)|ACTIVATED CLOTTING TIME (TEST:EL:52000161427)|ACT FROM RADIOLOGY (TEST:MHSQ-ACT60)|ACT FROM CATH LAB (TEST:MHSQ-ACT40)|ACT CLOTTING TIME (TEST:NCACTRAD)|ACT FROM CARDIAC OR (TEST:MHSQ-ACT20)|ACT FROM CARDIAC OR (TEST:MCSQ-ACT20)|ACT (TEST:BCACT10H)|ACT FROM EP LAB (TEST:MHSQ-ACT50)|ACTIVATED CLOT TIME (TEST:MHSQ-ACT7)|ACTIVATED CLOT TIME (TEST:NHSQE-ACT7),375,15407
activated_protein_c_resistance,13590-5,Activated protein C resistance,PPP,ratio,RATIO,{'': 1.0},0.0,9999.0,0.0,9999.0,1,False,,APC-RESISTANCE SCRN. (TEST:WCAPCRS)|ACT PROT C RES SCRN (TEST:MHAPCRSC)|APC-RESISTANCE SCRN. (TEST:BCAPCRS)|ACT PROT C RES SCRN (TEST:WHAPCRS)|ACT PROT C RES PCR (TEST:MHSQ-APCPCR)|FACTOR V LEIDEN (APCR) (TEST:FC69.5050)|ACT PROT C RES PCR (TEST:FHAPCPCR)|APCRV RATIO (TEST:NCAPCR1)|FACTOR V POINT MUTATION-LEIDEN (TEST:FC50.0228)|ACTIVATED PROTEIN C RESISTANCE (TEST:FC50.0226)|ACT PROT C RES PCR (TEST:BHAPCPCR)|ACT PROT C RES PCR (TEST:MHAPCPCR)|APCRV RATIO (TEST:NCSQE-APCRR)|APC RESISTANCE (TEST:NHAPCRT)|ACT PROT C RES SCRN (TEST:MHAPCRS)|ACT PROT C RES PCR (TEST:WHAPCPCR)|APCR (TEST:BH1-281)|APCRV RATIO (TEST:BCAPCRR)|PCR-APC (TEST:BH1-304)|ACT PROT C RES SCRN (TEST:FHAPCRS)|ACT PROT C RES SCRN (TEST:DHSQE-APCRS)|APC-RESISTANCE SCRN. (TEST:EL:5200001478)|ACT PROT C RES SCRN (TEST:VHSQE-APCRS)|ACTIVATED PROTEIN C (PCR) (TEST:WC601.6418)|APCRV RATIO (TEST:MCSQ-APCRR)|APCRV RATIO (TEST:DCSQE-APCRR)|APCRV RATIO (TEST:FCAPCRR)|F5L SCREEN (TEST:WC601.6414)|ACT PROT C RES SCRN (TEST:MHSQ-APCRS)|APC-RESISTANCE SCRN. (TEST:MCSQ-APCRS)|ACT PROT C RES PCR (TEST:DHSQE-APCPCR)|ACT PROT C RESISTANCE BLOOD (TEST:EL:5200001477)|ACT PROT C RES SCRN (TEST:BHAPCRS),722,2745
adp_5_um_chrono-lume_test_bh1-536,,,,nm,nm,{},0.0,9999.0,0.0,9999.0,3,True,singleton,ADP 5 UM CHRONO-LUME (TEST:BH1-536),2,2
