group_name,loinc_code,component,system,standard_unit,source_units,conversion_factors,impossible_low,impossible_high,extreme_low,extreme_high,tier,needs_review,review_reason,matched_tests,patient_count,measurement_count
calcium,17861-6,Calcium,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CALCIUM BLOOD (TEST:EL:5200002558),5932,463743
hemoglobin,718-7,Hemoglobin,Bld,g/dL,g/dL,{'g/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,HGB BLOOD (TEST:EL:5200006739),5920,426350
erythrocyte/blood,4544-3,Erythrocyte/Blood,Bld,L/L;%,%,{'%': 1.0},0.0,9999.0,0.0,9999.0,1,False,,HCT BLOOD (TEST:EL:5200006601),5919,426292
erythrocyte,788-0,Erythrocyte,Bld,%,%,{'%': 1.0},0.0,9999.0,0.0,9999.0,1,False,,RDW BLOOD (TEST:EL:5200012143),5919,425573
platelets,777-3,Platelets,Bld,10*9/L,K/uL,{'K/uL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,PLT BLOOD (TEST:EL:5200010788),5919,425748
albumin,1751-7,Albumin,Ser/Plas,g/L;g/dL; mg/dL,g/dL,{'g/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,ALBUMIN BLOOD (TEST:EL:5200001121),5841,268281
alanine_aminotransferase,1742-6,Alanine aminotransferase,Ser/Plas,arb U/L,U/L,{'U/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,ALT BLOOD (TEST:EL:5200012890),5836,263410
protein,2885-2,Protein,Ser/Plas,g/L;g/dL,g/dL,{'g/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,TOTAL PROTEIN BLOOD (TEST:EL:5200013990),5835,265856
aspartate_aminotransferase,1920-8,Aspartate aminotransferase,Ser/Plas,arb U/L,U/L,{'U/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,AST BLOOD (TEST:EL:5200012878),5835,263370
bilirubin,1975-2,Bilirubin,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,TOTAL BILIRUBIN BLOOD (TEST:EL:5200013540),5833,263309
alkaline_phosphatase,6768-6,Alkaline phosphatase,Ser/Plas,arb U/L,U/L,{'U/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,ALKALINE PHOSPHATASE BLOOD (TEST:EL:5200001152),5833,263249
globulin,2336-6,Globulin,Ser,g/dL,g/dL,{'g/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,GLOBULIN BLOOD (TEST:EL:5200006292),5820,262142
creatinine,2160-0,Creatinine,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CREATININE BLOOD (TEST:EL:5200010498),5640,381155
glucose,2345-7,Glucose,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,GLUCOSE BLOOD (TEST:EL:5200010610),5640,380098
glomerular_filtration_rate,69405-9,Glomerular filtration rate,Ser/Plas/Bld,mL/min,mL/min/1.73m2,{'mL/min/1.73m2': 1.0},0.0,9999.0,0.0,9999.0,1,False,,EGFR BLOOD (TEST:EL:5200010525),5640,381125
urea_nitrogen,3094-0,Urea nitrogen,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,BUN BLOOD (TEST:EL:5200010415),5638,382092
chloride,2075-0,Chloride,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CHLORIDE BLOOD (TEST:EL:5200010446),5636,379906
sodium,2951-2,Sodium,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,SODIUM BLOOD (TEST:EL:5200010860),5636,380644
anion_gap,10466-1,Anion gap,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,ANION GAP BLOOD (TEST:EL:5200010248),5636,379612
potassium,2823-3,Potassium,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,POTASSIUM BLOOD (TEST:EL:5200010723),5636,386330
carbon_dioxide,2028-9,Carbon dioxide,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CO2 BLOOD (TEST:EL:5200010762),5636,379788
bilirubin_glucuronidated+bilirubin_albumin_bound,1968-7,Bilirubin.glucuronidated+Bilirubin.albumin bound,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,DIRECT BILIRUBIN BLOOD (TEST:EL:5200004178),5383,148306
coagulation_tissue_factor_induced,5902-2,Coagulation tissue factor induced,PPP,s,sec,{'sec': 1.0},0.0,9999.0,0.0,9999.0,1,False,,PT BLOOD (TEST:EL:5200011201),5349,130834
coagulation_tissue_factor_induced_inr,6301-6,Coagulation tissue factor induced.INR,PPP,INR,,{'': 1.0},0.0,9999.0,0.0,9999.0,1,False,,INR BLOOD (TEST:EL:5200011231),5349,130827
glucose,5792-7,Glucose,Urine,mg/dL,,{'': 1.0},0.0,9999.0,0.0,9999.0,1,False,,GLUCOSE (TEST:EL:5200014503),5022,45528
phosphate,2777-1,Phosphate,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,PHOSPHORUS BLOOD (TEST:EL:5200010668),4912,208138
troponin_t_cardiac,67151-1,Troponin T.cardiac,Ser/Plas,ng/L,ng/L,{'ng/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,"TROPONIN-T, HS GEN5 (TEST:EL:5290008241)",4850,52489
coagulation_surface_induced,3173-2,Coagulation surface induced,Bld,s,sec,{'sec': 1.0},0.0,9999.0,0.0,9999.0,1,False,,APTT (TEST:EL:5200011266),4642,145098
natriuretic_peptide_b_prohormone_n-terminal,33762-6,Natriuretic peptide.B prohormone N-Terminal,Ser/Plas,pg/mL,pg/mL,{'pg/mL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,NT-PROBNP BLOOD (TEST:EL:5200011048),4612,23830
triglyceride,2571-8,Triglyceride,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,TRIGLYCERIDES (TEST:EL:5200014087),4195,33987
lactate,2524-7,Lactate,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,LACTIC ACID (MMOL/L) BLOOD (TEST:EL:5200010744),4061,53554
anion_gap,10466-1,Anion gap,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,ANION GAP BLOOD (TEST:EL:5200001381),3793,94235
cholesterol,2093-3,Cholesterol,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CHOLESTEROL (TEST:EL:5200003152),3658,14121
cholesterol_in_hdl,2085-9,Cholesterol.in HDL,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,HDL (TEST:EL:5200006657),3630,13558
cholesterol_total/cholesterol_in_hdl,9830-1,Cholesterol.total/Cholesterol.in HDL,Ser/Plas,ratio,,{'': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CARDIAC RISK RATIO (TEST:EL:5200003795),3625,13486
glomerular_filtration_rate,69405-9,Glomerular filtration rate,Ser/Plas/Bld,mL/min,mL/min/1.73m2,{'mL/min/1.73m2': 1.0},0.0,9999.0,0.0,9999.0,1,False,,EGFR BLOOD (TEST:EL:5200004709),3609,86958
platelets,777-3,Platelets,Bld,10*9/L,K/uL,{'K/uL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,PLT (TEST:MHSQ-PLT),3598,189564
erythrocyte,788-0,Erythrocyte,Bld,%,%,{'%': 1.0},0.0,9999.0,0.0,9999.0,1,False,,RDW (TEST:MHSQ-RDW),3598,189516
erythrocyte/blood,4544-3,Erythrocyte/Blood,Bld,L/L;%,%,{'%': 1.0},0.0,9999.0,0.0,9999.0,1,False,,HCT (TEST:MHSQ-HCT),3598,189558
hemoglobin,718-7,Hemoglobin,Bld,g/dL,g/dL,{'g/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,HGB (TEST:MHSQ-HGB),3598,189561
estimated_average_glucose,27353-2,Estimated average glucose,Bld,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CALC MEAN BLD GLUC BLOOD (TEST:EL:5200003381),3494,13163
creatinine,2160-0,Creatinine,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CREATININE BLOOD (TEST:EL:5200003771),3482,83692
urea_nitrogen,3094-0,Urea nitrogen,Ser/Plas,mg/dL,mg/dL,{'mg/dL': 1.0},0.0,9999.0,0.0,9999.0,1,False,,BUN BLOOD (TEST:EL:5200002387),3477,83464
potassium,2823-3,Potassium,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,POTASSIUM BLOOD (TEST:EL:5200007759),3470,83887
carbon_dioxide,2028-9,Carbon dioxide,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CO2 BLOOD (TEST:EL:5200003481),3466,83158
chloride,2075-0,Chloride,Ser/Plas,mmol/L,mmol/L,{'mmol/L': 1.0},0.0,9999.0,0.0,9999.0,1,False,,CHLORIDE BLOOD (TEST:EL:5200003255),3466,83154
