FULL LAB LIST - 322 GROUPS
================================================================================
#    Group Name                                              Tier  Patients   Measurements
--------------------------------------------------------------------------------
1    glucose                                                 1     5640       1,901,173
2    carbon_dioxide                                          1     5636       1,337,444
3    hemoglobin                                              1     5920       1,122,284
4    potassium                                               1     5636       1,108,714
5    sodium                                                  1     5636       1,070,808
6    creatinine                                              1     5640       989,969
7    chloride                                                1     5636       979,567
8    urea_nitrogen                                           1     5638       975,657
9    glomerular_filtration_rate                              1     5640       964,584
10   anion_gap                                               1     5636       954,720
11   calcium                                                 1     5932       951,289
12   erythrocyte                                             1     5919       937,555
13   erythrocyte/blood                                       1     5919       924,047
14   platelets                                               1     5919       919,015
15   albumin                                                 1     5841       551,491
16   protein                                                 1     5835       548,857
17   aspartate_aminotransferase                              1     5835       545,123
18   alanine_aminotransferase                                1     5836       542,827
19   alkaline_phosphatase                                    1     5833       540,601
20   bilirubin                                               1     5833       539,024
21   globulin                                                1     5820       517,011
22   phosphate                                               1     4912       391,903
23   coagulation_tissue_factor_induced                       1     5349       326,072
24   coagulation_tissue_factor_induced_inr                   1     5349       323,024
25   coagulation_surface_induced                             1     4642       303,996
26   bilirubin_glucuronidated+bilirubin_albumin_bound        1     5383       271,083
27   base_excess                                             1     2995       258,069
28   fio2                                                    3     1724       231,333
29   oxygen                                                  1     1250       189,167
30   calcium_ionized                                         1     1590       168,897
31   oxygen_saturation                                       1     1383       166,316
32   ph                                                      1     1807       153,808
33   lactate                                                 1     4061       130,524
34   bicarbonate                                             1     1829       123,009
35   base_deficit                                            1     1601       104,150
36   lactate_dehydrogenase                                   1     2804       101,127
37   troponin_t_cardiac                                      1     4850       95,473
38   erythrocyte/arterial_blood                              1     1258       92,055
39   triglyceride                                            1     4195       91,188
40   cholesterol                                             1     3658       62,445
41   cholesterol_in_ldl                                      1     2117       57,556
42   cholesterol_in_hdl                                      1     3630       57,143
43   c_reactive_protein                                      1     2605       53,341
44   oxygen_saturation_venous                                3     2572       47,106
45   cholesterol_total/cholesterol_in_hdl                    1     3625       46,873
46   natriuretic_peptide_b_prohormone_n-terminal             1     4612       41,030
47   fibrinogen                                              1     2190       36,224
48   temp_blood_test_el_5200002019                           3     871        35,484
49   estimated_average_glucose                               1     3494       34,392
50   erythrocyte/venous_blood                                1     1436       26,967
51   platelets_giant                                         1     1027       23,912
52   fibrin_d-dimer                                          1     2783       22,624
53   heparin_unfractionated                                  1     623        20,511
54   cholesterol_non_hdl                                     1     2087       18,299
55   cholesterol_in_vldl                                     1     1574       17,094
56   procalcitonin                                           1     2453       17,021
57   activated_clotting_time                                 1     375        15,407
58   erythrocyte_distribution_width                          1     757        12,416
59   prealbumin                                              1     651        8,680
60   coagulation_specialist_review                           1     1196       7,775
61   platelets_large                                         1     510        7,657
62   troponin_i_cardiac                                      1     473        6,772
63   o2_liters/min_blood_test_el_5230000831                  3     701        6,681
64   gamma_glutamyl_transferase                              1     769        5,997
65   temp_test_mcsq-tempo                                    3     438        5,878
66   heparin_low_molecular_weight                            1     468        5,828
67   pco2_test_el_5200010456                                 3     175        5,224
68   ph_test_el_5200010630                                   3     175        5,224
69   art_temp_out_test_mcsq-tempa                            3     409        4,711
70   hematocrit                                              3     175        4,477
71   tco2_test_el_5200013657                                 3     175        4,477
72   coagulation_surface_induced_lupus_sensitive             1     932        4,405
73   service_comment_12                                      1     400        3,795
74   basedef_test_el_5200001933                              3     170        3,677
75   phuncorrected_blood_test_el_5200010684                  3     233        3,573
76   antithrombin_actual/normal                              1     786        3,367
77   cardiolipin_ab_igg                                      1     756        3,266
78   cardiolipin_ab_igm                                      1     756        3,199
79   glu-wb,_art_or_test_el_5200006339                       3     175        2,970
80   low_molecular_weight_heparin_induced_platelet_ab        1     730        2,811
81   pco2uncorrected_blood_test_el_5200010462                3     233        2,780
82   po2uncorrected_blood_test_el_5200010942                 3     233        2,780
83   carboxyhemoglobin/hemoglobin_total                      1     174        2,777
84   methemoglobin/hemoglobin_total                          1     116        2,750
85   activated_protein_c_resistance                          1     722        2,745
86   oxyhemoglobin/hemoglobin_total                          1     288        2,726
87   apixaban                                                1     794        2,332
88   protein_c_actual/normal                                 1     634        2,284
89   hemoglobin_free                                         1     73         2,069
90   protein_s                                               1     526        1,752
91   homocysteine                                            1     225        1,738
92   sodium_test_el_5200009660                               3     76         1,619
93   coagulation_surface_induced_hexagonal_phase_phospholipid 1     342        1,557
94   ioca_test_bcioca8                                       3     124        1,507
95   glucose-wb_test_bcgluwb8                                3     124        1,507
96   oxygen_liters/min_blood_test_el_5200010063              3     183        1,471
97   interleukin_6                                           1     202        1,446
98   chloride_test_dcsqe-pcl                                 3     55         1,412
99   anti_xa_level_test_bh1-455                              3     145        1,410
100  natriuretic_peptide_b                                   1     231        1,334
101  plt_giant_forms_test_mhsq-pltg                          3     251        1,315
102  coagulation_dilute_russell_viper_venom_induced_excess_phospholipid 1     230        1,300
103  temp._blood_test_el_5200013725                          3     132        1,300
104  coagulation_factor_viii_activity_actual/normal          1     281        1,296
105  test_site_bg/pulse_ox_blood_test_el_5200002018          3     200        1,139
106  phospholipid_ab_igm                                     1     448        1,131
107  phospholipid_ab_igg                                     1     448        1,131
108  point_of_care_glucose_test_fc600.0010                   3     50         1,046
109  horowitz_index                                          1     175        1,000
110  bg_site_test_ncbgsite                                   3     140        984
111  coagulation_factor_x_activity_actual/normal             1     70         926
112  venous_temp_out_test_mcsq-tempv                         3     277        917
113  erythrocyte/specimen_volume                             1     77         872
114  ptt_after_hepzyme_test_el_5210000397                    3     300        865
115  platelets_agranular                                     1     199        829
116  base_x_test_el_5200001968                               3     90         810
117  bilirubin_non-glucuronidated                            1     147        809
118  po2uncorrected_test_mcsq-po2u                           3     109        793
119  pco2uncorrected_test_mcsq-pco2u                         3     109        793
120  protein_s_free_ag_actual/normal                         1     237        780
121  lupus_anticoagulant_neutralization_platelet             1     209        776
122  po2_uncorrected_test_el_5200015511                      3     168        747
123  antithrombin_ag_actual/normal                           1     272        743
124  bilirubin_glucuronidated                                1     147        740
125  bizarre_platelets                                       1     199        705
126  venous_oxygen_sat_test_fcvo2sat                         3     141        693
127  lipoprotein_(little_a)                                  1     252        682
128  creatinine_dialysis_fluid_clearance                     1     97         663
129  fondaparinux                                            1     78         645
130  egfr_poc_test_bcgfrpoc                                  3     220        610
131  glucose^post_cfst                                       1     184        584
132  sequence_test_mcsq-seq                                  3     40         483
133  oxyhemoglobin                                           1     34         476
134  sao2_rest_test_ncsao2r                                  3     86         474
135  hemoglobin_pattern                                      1     57         373
136  coagulation_thrombin_induced                            1     55         373
137  inr_poc_test_mhsq-pti7                                  3     81         364
138  spont_resp_rate_test_fcasrr                             3     30         362
139  coagulation_dilute_russell_viper_venom_induced          1     70         331
140  von_willebrand_factor_ag                                1     65         267
141  coagulation_factor_xi_activity_actual/normal            1     95         261
142  vent_tidal_volume_test_fcavtv                           3     22         259
143  coagulation_factor_ix_activity_actual/normal            1     80         257
144  liters/min_test_wc301.0600                              3     28         253
145  von_willebrand_factor_ristocetin_cofactor_activity_actual/normal 1     53         252
146  dilute_tt_argatroban_blood_test_el_5200004571           3     8          244
147  peep/cpap_test_fcapcf                                   3     25         228
148  mycobacterium_bovis_tuberculin_stimulated_gamma_interferon-control_stimulated_gamma_interferon 1     128        221
149  vldl_test_el_5200015351                                 3     118        218
150  interleukin_2_receptor_soluble                          1     78         209
151  coagulation_factor_v_activity_actual/normal             1     51         204
152  pco2,_central_venous_blood_test_el_5290001703           3     14         200
153  protein_c_ag_actual/normal                              1     52         199
154  coagulation_factor_vii_activity_actual/normal           1     55         198
155  temp_test_mctemout                                      3     4          195
156  5'-nucleotidase                                         1     22         190
157  total_co2-poc_test_mcsq-tco27                           3     29         187
158  glucose_istat_test_ncgluis                              3     45         187
159  pt_poc_test_mhsq-pt7                                    3     80         186
160  post_plt_ct._test_dhsqe-pltp                            3     15         175
161  apolipoprotein_a-i                                      1     23         166
162  sodium-poc_test_ncsqe-na7                               3     17         163
163  prothrombin_activity_actual/normal                      1     36         162
164  saturated_oxygen_istat_test_nco2is                      3     24         158
165  vldl,_direct_test_bcvldld                               3     88         153
166  cholr_interpretation_test_wc331.3370                    3     51         146
167  interleukin_2_receptor                                  1     52         144
168  coagulation_dilute_russell_viper_venom_induced_actual/normal 1     40         139
169  f2_gene_targeted_mutation_analysis                      1     102        133
170  percent_o2_test_wc301.0500                              3     28         132
171  gamma_interferon_background                             1     61         132
172  patient_temperature_test_wc301.0700                     3     28         132
173  lupus_anticoagulant                                     1     25         127
174  ptt_mixing_study_test_mhsq-pttmx                        3     42         126
175  beta_2_glycoprotein_1_ab                                1     74         120
176  coagulation_factor_xii_activity_actual/normal           1     37         112
177  hiv_protease_gene_mutations_detected                    1     20         111
178  dil_tt_bilvalirudin_blood_test_el_5200004572            3     17         108
179  ph,_central_venous_blood_test_el_52900002321            3     14         100
180  lipoprotein_a_test_mcsq-mlppa                           3     72         99
181  pt_mixing_study_test_mhsq-ptmx                          3     31         99
182  istat_wb_glucose_test_mcsq-glui7                        3     10         97
183  peep/cpap_test_fc90.0057                                3     12         96
184  f5_gene_p_arg506gln                                     1     50         96
185  protein_s_actual/normal                                 1     31         95
186  aptt_after_hepzyme_test_mhsq-ptthpz                     3     47         95
187  prothrombin_ab                                          1     25         88
188  egfr-poc_test_bc1-1450                                  3     67         88
189  prothrombin_fragment_1+2                                1     33         86
190  von_willebrand_factor_cleaving_protease_actual/normal   1     35         86
191  coagulation_surface_induced_factor_substitution^immediately_after_addition_of_normal_plasma 1     17         81
192  von_willebrand_factor_ag_actual/normal                  1     30         78
193  pt_test_el_5200011202                                   3     26         76
194  coagulation_thrombin_induced_factor_substitution^immediately_after_addition_of_bovine_thrombin 1     30         73
195  von_willebrand_factor_activity_actual/normal            1     14         70
196  coagulation_reptilase_induced                           1     8          69
197  bleeding_time                                           1     29         68
198  carbon_dioxide^^adjusted_to_patient's_actual_temperature 1     15         67
199  oxygen^^adjusted_to_patient's_actual_temperature        1     15         67
200  f5_gene_targeted_mutation_analysis                      1     34         66
201  hemoglobin_screen_final_result_test_bhhgbfr             3     10         66
202  abg_site_blood_test_el_52000169326                      3     9          65
203  liters/min_test_fc90.0070                               3     16         64
204  platelet_aggregation_adenosine_diphosphate_induced      1     11         57
205  interleukin_2                                           1     23         55
206  platelet_aggregation_collagen_induced                   1     11         54
207  platelet_aggregation_arachidonate_induced^500_umol/l    1     11         53
208  platelet_aggregation_ristocetin_induced^high_dose       1     11         53
209  platelet_aggregation_ristocetin_induced^low_dose        1     11         53
210  observation                                             1     16         47
211  apolipoprotein_b                                        1     19         46
212  lupus_screen_test_dhsqe-lascr                           3     15         44
213  igg/albumin                                             1     16         44
214  o2_delivery_method_blood_test_el_52000169325            3     9          44
215  creatinine_renal_clearance                              1     11         43
216  coagulation_tissue_factor_induced_factor_substitution^immediately_after_addition_of_normal_plasma 1     12         43
217  platelet_aggregation_epinephrine_induced^50_umol/l      1     10         42
218  platelet_aggregation_collagen_induced^5_ug/ml           1     11         38
219  antithrombin_ag                                         1     16         37
220  1ug/ml_collagen_sec_test_bhcol1r                        3     11         37
221  5ug/ml_collagen_sec_test_bhcol5r                        3     11         37
222  5um_adp_sec_test_bhadpr                                 3     11         37
223  .5mm_arach_acid_sec_test_bhaar                          3     11         37
224  coagulation_factor_xiii_coagulum_dissolution_at_24h     1     15         37
225  1u/ml_thrombin_sec_test_bhpthrom                        3     11         37
226  lupus_anticoagulant_two_screening_tests_w_reflex        1     17         37
227  factor_inhibitor_xxx                                    1     3          36
228  hemoglobin^pre_therapeutic_phlebotomy                   1     3          32
229  von_willebrand_factor_multimers                         1     10         31
230  coagulation_thrombin_induced^after_addition_of_heparinase 1     9          27
231  von_willebrand_evaluation                               1     10         26
232  coagulation_dilute_russell_viper_venom_induced/coagulation_dilute_russell_viper_venom_induced_excess_phospholipid 1     13         26
233  lactate_dehydrogenase_1/lactate_dehydrogenase_total     1     8          25
234  lactate_dehydrogenase_3/lactate_dehydrogenase_total     1     8          25
235  lactate_dehydrogenase_2/lactate_dehydrogenase_total     1     8          25
236  lactate_dehydrogenase_4/lactate_dehydrogenase_total     1     8          25
237  lactate_dehydrogenase_5/lactate_dehydrogenase_total     1     8          25
238  lipoprotein_x                                           1     21         24
239  pt_after_hepzyme_test_mhsq-pthpz                        3     12         23
240  oxygen_saturation_test_fc90.0150                        3     14         23
241  platelet_aggregation_ristocetin_induced                 1     10         22
242  pt-inr_after_hepzyme_test_mhsq-ptihpz                   3     12         21
243  delivery_device_test_sc301.0600                         3     5          21
244  platelet_aggregation_arachidonate_induced               1     10         21
245  protein_s_ag_actual/normal                              1     11         21
246  coagulation_factor_vii_activity                         1     4          20
247  platelet_aggregation_adenosine_diphosphate_induced^5_umol/l 1     9          20
248  platelet_aggregation_collagen_induced^1_ug/ml           1     9          20
249  von_willebrand_factor_cleaving_protease_inhibitor       1     6          19
250  fibrin+fibrinogen_fragments                             1     4          19
251  lupus_anticoagulant_three_screening_tests_w_reflex      1     9          19
252  plasminogen                                             1     12         18
253  interleukin_1_beta                                      1     4          17
254  coagulation_factor_xiii_ag_actual/normal                1     10         16
255  vldld_test_bc1-2463                                     3     10         14
256  drvvt_with_1:1_pooled_normal_plasma_actual/normal       1     9          14
257  platelet_aggregation_epinephrine_induced^100_umol/l     1     5          13
258  phosphatidylserine_ab_igm                               1     5          13
259  liter_flow_test_sc301.0500                              3     3          12
260  manual_pt-inr_test_mhsq-mpti                            3     5          11
261  lupus_anticoagulant_neutralization_dilute_phospholipid  1     4          11
262  phosphatidylserine-prothrombin_complex_ab_igg           1     8          11
263  platelet_aggregation_xxx_induced                        1     8          10
264  nmr_lipoprofile_test_mcsq-nmrlp                         3     3          9
265  interleukin_10                                          1     2          8
266  phosphatidylserine-prothrombin_complex_ab_igm           1     7          8
267  temperature_test_sc301.1400                             3     2          8
268  interleukin_2_receptor_alpha_chain_soluble              1     2          7
269  coagulation_factor_x_activated_activity                 1     3          7
270  homocystine                                             1     4          6
271  alt_sgpt_test_wc953.1334                                3     3          6
272  beta_2_glycoprotein_1_ab_iga_&_igg_&_igm_panel          1     6          6
273  complete_blood_count_test_mh110                         3     4          6
274  lactate_dehydrogenase_isoenzymes                        1     1          5
275  von_willebrand_factor_cleaving_protease                 1     3          5
276  drvvt_with_1:1_pooled_normal_plasma                     1     3          5
277  coagulation_thrombin_induced_factor_substitution^immediately_after_addition_of_protamine_sulfate 1     3          5
278  coagulation_surface_induced^post_heparin_neutralization 1     3          5
279  o2sat_venous_measured_test_wc301.1605                   3     3          5
280  collagen_5_ug/ml_chrono-lume_test_bh1-542               3     2          4
281  interleukin_17a                                         1     1          4
282  pt_mix_1_1_test_mcsq-ptmx1                              3     1          4
283  itime_sec_test_scitime                                  3     1          4
284  protein_s_ag                                            1     2          4
285  oximetry_test_sc301.0200                                3     1          4
286  lipoprotein_pattern                                     1     2          4
287  apolipoprotein_ciii-1/apolipoprotein_ciii-2             1     2          4
288  apolipoprotein_ciii-0/apolipoprotein_ciii-2             1     2          4
289  lipoprotein_alpha_subparticle_large                     1     1          3
290  lipoprotein_beta_subparticle_small                      1     1          3
291  co-ox-site_test_ncsite                                  3     3          3
292  interleukin_18                                          1     3          3
293  antithrombin                                            1     1          3
294  prot_ag,_total_and_free_test_dcsqe-psagtf               3     2          3
295  man_fibrometer_ptt_test_mhsq-mptt                       3     2          3
296  fibrin_split_prods_test_mhsq-fsp                        3     2          3
297  kininogen_high_molecular_weight                         1     2          2
298  adp_5_um_chrono-lume_test_bh1-536                       3     2          2
299  arachadonic_acid_0.5_mm_chrono-lume_test_bh1-544        3     2          2
300  von_willebrand_act_test_ncsqe-vwfx1                     3     1          2
301  platelet_aggregation_epinephrine_induced                1     2          2
302  plasminogen_actual/normal                               1     1          2
303  cholesterol_in_ldl_real_size_pattern                    1     1          2
304  lipoprotein_beta                                        1     1          2
305  patient_resp_rate_test_sc301.0800                       3     1          2
306  lipoprotein_beta_subparticle                            1     1          2
307  methemoglobin_intrp_test_mcsq-mint18                    3     1          2
308  mechrate_test_scmechrt                                  3     1          2
309  total_hdl_particle_concentrati_test_wc954.1050          3     1          2
310  prekallikrein                                           1     2          2
311  thrombin__1_unit/ml_chrono-lume_test_bh1-547            3     2          2
312  apolipoprotein_a-i_&_a-ii_&_b_&_c_panel                 1     1          1
313  von_willebrand_factor_collagen_binding_activity_actual/normal 1     1          1
314  lactate_dehydrogenase_2                                 1     1          1
315  temp._blood_test_el_5200014195                          3     1          1
316  hemoglobin_a1c/hemoglobin_total                         1     1          1
317  spontaneous_plt_agg_test_mhspltag                       3     1          1
318  ionized_calcium_test_bc1-163                            3     1          1
319  ptt_treated_w/hepzyme_test_bh1-564                      3     1          1
320  platelet_glycoprotein_iib-iiia_ab                       1     1          1
321  platelet_aggregation_test_fc69.2000                     3     1          1
322  vwf_type_2n_binding_test_dcsqe-vwf2nb                   3     1          1
