test_name,patient_count,coverage_pct,total_measurements,avg_per_patient
"vldl,_direct_test_bcvldld",35,0.9817671809256662,69,1.9714285714285715
apolipoprotein_b/apolipoprotein_a-i,5,0.1402524544179523,6,1.2
nmr_lipoprofile_test_mcsq-nmrlp,3,0.08415147265077139,10,3.3333333333333335
anion_gap,3,0.08415147265077139,4,1.3333333333333333
carbon_dioxide,3,0.08415147265077139,4,1.3333333333333333
sodium,3,0.08415147265077139,4,1.3333333333333333
platelets,1,0.028050490883590466,31,31.0
erythrocyte/blood,1,0.028050490883590466,30,30.0
phosphate,1,0.028050490883590466,10,10.0
hemoglobin_free,1,0.028050490883590466,7,7.0
potassium,1,0.028050490883590466,4,4.0
cholesterol_in_vldl,1,0.028050490883590466,2,2.0
calcium,1,0.028050490883590466,2,2.0
albumin,1,0.028050490883590466,2,2.0
natriuretic_peptide_b,1,0.028050490883590466,2,2.0
apolipoprotein_b,1,0.028050490883590466,2,2.0
natriuretic_peptide_b_prohormone_n-terminal,1,0.028050490883590466,2,2.0
erythrocyte/specimen_volume,1,0.028050490883590466,2,2.0
apolipoprotein_a-i_&_a-ii_&_b_&_c_panel,1,0.028050490883590466,1,1.0
prealbumin,1,0.028050490883590466,1,1.0
lactate_dehydrogenase,1,0.028050490883590466,1,1.0
lactate_dehydrogenase_1/lactate_dehydrogenase_total,1,0.028050490883590466,1,1.0
calcium_ionized,1,0.028050490883590466,1,1.0
hemoglobin,1,0.028050490883590466,1,1.0
protein,1,0.028050490883590466,1,1.0
glucose^post_cfst,1,0.028050490883590466,1,1.0
c_reactive_protein,1,0.028050490883590466,1,1.0
chloride,1,0.028050490883590466,1,1.0
urea_nitrogen,1,0.028050490883590466,1,1.0
creatinine,1,0.028050490883590466,1,1.0
lipoprotein_beta,1,0.028050490883590466,1,1.0
glomerular_filtration_rate,1,0.028050490883590466,1,1.0
apolipoprotein_a-i,1,0.028050490883590466,1,1.0
cholesterol,1,0.028050490883590466,1,1.0
cholesterol_in_hdl,1,0.028050490883590466,1,1.0
cholesterol_in_ldl,1,0.028050490883590466,1,1.0
cholesterol_non_hdl,1,0.028050490883590466,1,1.0
cholesterol_total/cholesterol_in_hdl,1,0.028050490883590466,1,1.0
triglyceride,1,0.028050490883590466,1,1.0
glucose,1,0.028050490883590466,1,1.0
lactate_dehydrogenase_2/lactate_dehydrogenase_total,1,0.028050490883590466,1,1.0
lactate_dehydrogenase_3/lactate_dehydrogenase_total,1,0.028050490883590466,1,1.0
lactate_dehydrogenase_4/lactate_dehydrogenase_total,1,0.028050490883590466,1,1.0
lactate_dehydrogenase_5/lactate_dehydrogenase_total,1,0.028050490883590466,1,1.0
